name,iau,nasa,genitive,pronunciation_name,pronunciation_genitive,symbolism,origin,note
Horologium,Hor,Horo,Horologii,"/ˌhɒrəˈloʊdʒiəm, -ˈlɒ-/","/ˌhɒrəˈloʊdʒiˌaɪ, -ˈlɒ-/",The Pendulum Clock,"1763, Lacaille",
Hydra,Hya,Hyda,Hydrae,/ˈhaɪdrə/,/ˈhaɪdriː/,the sea serpent,ancient (Ptolemy),
Hydrus,Hyi,Hydi,Hydri,/ˈhaɪdrəs/,/ˈhaɪdraɪ/,the water snake,"1603, Uranometria, created by Keyser and de Houtman",
Indus,Ind,Indi,Indi,/ˈɪndʊs/,/ˈɪndaɪ/,Indian,"1603, Uranometria, created by Keyser and de Houtman",
Lacerta,Lac,Lacr,Lacertae,/læˈsɜːrtə/,/læˈsɜːrti/,the Lizard,"1690, Firmamentum Sobiescianum, Hevelius",
Leo,Leo,Leon,Leonis,/ˈliːoʊ/,/liːˈoʊnɪs/,the Lion,ancient (Ptolemy),
Leo Minor,LMi,LMin,Leonis Minoris,/ˌliːoʊ ˈmaɪnər/ LEE-oh MY-nər,/liːˌoʊnɪs mɪˈnɔːrɪs/ lee-OH-niss min-OR-iss,the lesser Lion,"1690, Firmamentum Sobiescianum, Hevelius",
Lepus,Lep,Leps,Leporis,"/ˈliːpəs/, /ˈlɛpəs/",/ˈlɛpərɪs/,the Hare,ancient (Ptolemy),
Libra,Lib,Libr,Librae,/ˈliːbrə/,/ˈliːbriː/,the balance,ancient (Ptolemy),
Lupus,Lup,Lupi,Lupi,/ˈljuːpəs/,/-paɪ/,The Wolf,ancient (Ptolemy),
Lynx,Lyn,Lync,Lyncis,/ˈlɪŋks/,/ˈlɪnsɪs/,the Lynx,"1690, Firmamentum Sobiescianum, Hevelius",
